subject,domain,chapter,skill,importance,exercise_count,family_count,official_count,correction_coverage,coverage_status,gap_causes
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Vocabulaire,Sens des mots,MEDIUM,30,11,99,1.0,COMPLETE,OTHER
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Vocabulaire,Formation des mots,MEDIUM,30,12,6,1.0,COMPLETE,OTHER
FRENCH,Écriture,Réécriture,Transformer un texte,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
FRENCH,Écriture,Réécriture,Maintenir la cohérence,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
FRENCH,Écriture,Dictée,Orthographe en situation,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
FRENCH,Écriture,Dictée,Stratégies de relecture,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
FRENCH,Écriture,Expression écrite,Organiser un écrit,CRITICAL,50,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
FRENCH,Écriture,Expression écrite,Qualité de l'expression,CRITICAL,50,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
FRENCH,Écriture,Expression écrite,Genres d'écrits,CRITICAL,50,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
FRENCH,Écriture,Argumentation,Construire une thèse,CRITICAL,50,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
FRENCH,Écriture,Argumentation,Structurer un paragraphe argumentatif,CRITICAL,50,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
FRENCH,Formats d'épreuve DNB,Compréhension et compétences linguistiques (DNB),Questions de compréhension,CRITICAL,50,10,348,1.0,COMPLETE,OTHER
FRENCH,Formats d'épreuve DNB,Compréhension et compétences linguistiques (DNB),Compétences linguistiques,CRITICAL,50,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
FRENCH,Formats d'épreuve DNB,Rédaction DNB,Traiter le sujet,CRITICAL,50,11,150,1.0,COMPLETE,OTHER
FRENCH,Formats d'épreuve DNB,Rédaction DNB,Produire un texte abouti,CRITICAL,50,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Nombres et calculs,Nombres relatifs et rationnels,Comparer et ordonner,HIGH,51,6,177,1.0,COMPLETE,OTHER
MATHEMATICS,Nombres et calculs,Nombres relatifs et rationnels,Opérations sur les relatifs,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Nombres et calculs,Nombres relatifs et rationnels,Représenter les rationnels,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Nombres et calculs,Fractions,Simplifier et rendre irréductible,HIGH,46,8,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Nombres et calculs,Fractions,Calculer avec des fractions,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Nombres et calculs,Fractions,Résoudre des problèmes de fractions,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Nombres et calculs,Puissances et notation scientifique,Propriétés des puissances,HIGH,40,13,4,1.0,COMPLETE,OTHER
MATHEMATICS,Nombres et calculs,Puissances et notation scientifique,Puissances de 10,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Nombres et calculs,Puissances et notation scientifique,Notation scientifique,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Nombres et calculs,Arithmétique,Divisibilité,MEDIUM,30,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Nombres et calculs,Arithmétique,PGCD et applications,MEDIUM,30,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Nombres et calculs,Arithmétique,Nombres premiers,MEDIUM,30,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Nombres et calculs,Calcul littéral,Écrire et interpréter une expression,CRITICAL,50,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Nombres et calculs,Calcul littéral,Manipuler des expressions,CRITICAL,50,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Nombres et calculs,"Développement, réduction et factorisation",Développer,CRITICAL,50,13,74,1.0,COMPLETE,OTHER
MATHEMATICS,Nombres et calculs,"Développement, réduction et factorisation",Réduire,CRITICAL,50,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Nombres et calculs,"Développement, réduction et factorisation",Factoriser,CRITICAL,50,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Nombres et calculs,Équations,Équations du premier degré,CRITICAL,50,11,8,1.0,COMPLETE,OTHER
MATHEMATICS,Nombres et calculs,Équations,Équations produit nul,CRITICAL,50,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Nombres et calculs,Équations,Mettre en équation un problème,CRITICAL,50,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Nombres et calculs,Problèmes numériques,Choisir une stratégie,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Nombres et calculs,Problèmes numériques,Mener un calcul justifié,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,"Organisation et gestion de données, fonctions",Proportionnalité,Reconnaître une situation de proportionnalité,HIGH,46,8,5,1.0,COMPLETE,OTHER
MATHEMATICS,"Organisation et gestion de données, fonctions",Proportionnalité,Calculer dans une situation proportionnelle,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,"Organisation et gestion de données, fonctions",Pourcentages,Calculer un pourcentage,HIGH,40,12,2,1.0,COMPLETE,OTHER
MATHEMATICS,"Organisation et gestion de données, fonctions",Pourcentages,Évolutions en pourcentage,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,"Organisation et gestion de données, fonctions",Statistiques,Organiser des données,HIGH,40,10,6,1.0,COMPLETE,OTHER
MATHEMATICS,"Organisation et gestion de données, fonctions",Statistiques,Indicateurs statistiques,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,"Organisation et gestion de données, fonctions",Statistiques,Interpréter des données,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,"Organisation et gestion de données, fonctions",Probabilités,Vocabulaire des probabilités,HIGH,40,10,24,1.0,COMPLETE,OTHER
MATHEMATICS,"Organisation et gestion de données, fonctions",Probabilités,Calculer une probabilité,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,"Organisation et gestion de données, fonctions",Fonctions — image et antécédent,Notion de fonction,CRITICAL,50,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,"Organisation et gestion de données, fonctions",Fonctions — image et antécédent,Image et antécédent,CRITICAL,50,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,"Organisation et gestion de données, fonctions",Fonctions — image et antécédent,Représentation graphique,CRITICAL,50,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,"Organisation et gestion de données, fonctions",Fonctions linéaires et affines,Fonctions linéaires,CRITICAL,50,10,46,1.0,COMPLETE,OTHER
MATHEMATICS,"Organisation et gestion de données, fonctions",Fonctions linéaires et affines,Fonctions affines,CRITICAL,50,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,"Organisation et gestion de données, fonctions",Fonctions linéaires et affines,Déterminer une fonction affine,CRITICAL,50,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Grandeurs et mesures,Conversions d'unités,"Longueurs, aires, volumes",MEDIUM,30,11,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Grandeurs et mesures,Conversions d'unités,Autres grandeurs,MEDIUM,30,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Grandeurs et mesures,Aires et volumes,Calculer des aires,HIGH,40,13,111,1.0,COMPLETE,OTHER
MATHEMATICS,Grandeurs et mesures,Aires et volumes,Calculer des volumes,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Grandeurs et mesures,Agrandissement et réduction,Facteur d'échelle,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Grandeurs et mesures,Agrandissement et réduction,Problèmes d'échelle,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Espace et géométrie,Repérage,Repérage dans le plan,MEDIUM,30,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Espace et géométrie,Repérage,Repérage dans l'espace,MEDIUM,30,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Espace et géométrie,Théorème de Pythagore et réciproque,Théorème de Pythagore,CRITICAL,50,10,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Espace et géométrie,Théorème de Pythagore et réciproque,Réciproque de Pythagore,CRITICAL,50,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Espace et géométrie,Théorème de Pythagore et réciproque,Raisonnement géométrique,CRITICAL,50,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Espace et géométrie,Théorème de Thalès et réciproque,Théorème de Thalès,CRITICAL,50,11,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Espace et géométrie,Théorème de Thalès et réciproque,Réciproque de Thalès,CRITICAL,50,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Espace et géométrie,Trigonométrie dans le triangle rectangle,Cosinus,CRITICAL,50,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Espace et géométrie,Trigonométrie dans le triangle rectangle,Sinus,CRITICAL,50,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Espace et géométrie,Trigonométrie dans le triangle rectangle,Tangente,CRITICAL,50,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Espace et géométrie,Trigonométrie dans le triangle rectangle,Choisir le bon rapport,CRITICAL,50,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Espace et géométrie,Transformations du plan,Isométries,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Espace et géométrie,Transformations du plan,Propriétés conservées,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Espace et géométrie,Homothétie,Définition et rapport,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Espace et géométrie,Homothétie,Construire et calculer,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Espace et géométrie,Géométrie plane,Triangles,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Espace et géométrie,Géométrie plane,Cercle et polygones,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Espace et géométrie,Géométrie plane,Constructions et justifications,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Espace et géométrie,Géométrie dans l'espace et solides,Solides usuels,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Espace et géométrie,Géométrie dans l'espace et solides,Représentations,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Algorithmique et programmation,"Variables, conditions et boucles",Variables et affectations,HIGH,40,12,5,1.0,COMPLETE,OTHER
MATHEMATICS,Algorithmique et programmation,"Variables, conditions et boucles",Conditions,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Algorithmique et programmation,"Variables, conditions et boucles",Boucles,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Algorithmique et programmation,Scratch et programmation par blocs,Scripts et événements,MEDIUM,30,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Algorithmique et programmation,Scratch et programmation par blocs,Contrôle et interactions,MEDIUM,30,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Compétences transversales mathématiques,Compétences transversales,Automatismes,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Compétences transversales mathématiques,Compétences transversales,Résolution de problèmes,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Compétences transversales mathématiques,Compétences transversales,Raisonnement,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Compétences transversales mathématiques,Compétences transversales,Démonstration,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Compétences transversales mathématiques,Compétences transversales,Calcul mental,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
MATHEMATICS,Compétences transversales mathématiques,Compétences transversales,Outils numériques,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
HISTORY,"L'Europe, un théâtre majeur des guerres totales (1914-1945)",La Première Guerre mondiale : l'expérience combattante et l'expérience des civils,Expérience combattante,HIGH,64,6,69,1.0,COMPLETE,OTHER
HISTORY,"L'Europe, un théâtre majeur des guerres totales (1914-1945)",La Première Guerre mondiale : l'expérience combattante et l'expérience des civils,Expérience des civils,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
HISTORY,"L'Europe, un théâtre majeur des guerres totales (1914-1945)",La Première Guerre mondiale : l'expérience combattante et l'expérience des civils,Sorties de guerre,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
HISTORY,"L'Europe, un théâtre majeur des guerres totales (1914-1945)",Démocraties et totalitarismes dans l'Europe de l'entre-deux-guerres,Régimes totalitaires,CRITICAL,50,13,10,1.0,COMPLETE,OTHER
HISTORY,"L'Europe, un théâtre majeur des guerres totales (1914-1945)",Démocraties et totalitarismes dans l'Europe de l'entre-deux-guerres,Pratiques totalitaires,CRITICAL,50,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
HISTORY,"L'Europe, un théâtre majeur des guerres totales (1914-1945)",Démocraties et totalitarismes dans l'Europe de l'entre-deux-guerres,Démocraties face à la crise,CRITICAL,50,12,4,1.0,COMPLETE,OTHER
HISTORY,"L'Europe, un théâtre majeur des guerres totales (1914-1945)","La Seconde Guerre mondiale, une guerre d'anéantissement",Guerre mondiale et anéantissement,CRITICAL,50,9,1,1.0,COMPLETE,OTHER
HISTORY,"L'Europe, un théâtre majeur des guerres totales (1914-1945)","La Seconde Guerre mondiale, une guerre d'anéantissement",Génocide des Juifs et des Tsiganes,CRITICAL,50,12,14,1.0,COMPLETE,OTHER
HISTORY,"L'Europe, un théâtre majeur des guerres totales (1914-1945)","La France défaite et occupée ; régime de Vichy, Collaboration, Résistance",Défaite et occupation,CRITICAL,50,10,26,1.0,COMPLETE,OTHER
HISTORY,"L'Europe, un théâtre majeur des guerres totales (1914-1945)","La France défaite et occupée ; régime de Vichy, Collaboration, Résistance",Vichy et Collaboration,CRITICAL,50,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
HISTORY,"L'Europe, un théâtre majeur des guerres totales (1914-1945)","La France défaite et occupée ; régime de Vichy, Collaboration, Résistance",Résistances,CRITICAL,50,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
HISTORY,Le monde depuis 1945,Indépendances et construction de nouveaux États,Processus de décolonisation,HIGH,40,13,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
HISTORY,Le monde depuis 1945,Indépendances et construction de nouveaux États,Nouveaux États,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
HISTORY,Le monde depuis 1945,Un monde bipolaire au temps de la Guerre froide,Blocs Est / Ouest,CRITICAL,50,12,3,1.0,COMPLETE,OTHER
HISTORY,Le monde depuis 1945,Un monde bipolaire au temps de la Guerre froide,Crises et conflits,CRITICAL,50,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
HISTORY,Le monde depuis 1945,Un monde bipolaire au temps de la Guerre froide,Fin de la Guerre froide,CRITICAL,50,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
HISTORY,Le monde depuis 1945,Affirmation et mise en œuvre du projet européen,Origines du projet européen,HIGH,40,13,24,1.0,COMPLETE,OTHER
HISTORY,Le monde depuis 1945,Affirmation et mise en œuvre du projet européen,Approfondissement et élargissements,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
HISTORY,Le monde depuis 1945,Enjeux et conflits dans le monde après 1989,Nouvel ordre mondial,HIGH,48,9,40,1.0,COMPLETE,OTHER
HISTORY,Le monde depuis 1945,Enjeux et conflits dans le monde après 1989,Conflits et terrorisme,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
HISTORY,Françaises et Français dans une République repensée,"Refonder la République, redéfinir la démocratie (1944-1947)",Libération et refondation,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
HISTORY,Françaises et Français dans une République repensée,"Refonder la République, redéfinir la démocratie (1944-1947)",IVe République,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
HISTORY,Françaises et Français dans une République repensée,La Ve République,Institutions de la Ve République,CRITICAL,50,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
HISTORY,Françaises et Français dans une République repensée,La Ve République,Évolutions politiques,CRITICAL,50,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
HISTORY,Françaises et Français dans une République repensée,Femmes et hommes dans la société des années 1950 aux années 1980,Transformations sociales,HIGH,40,12,31,1.0,COMPLETE,OTHER
HISTORY,Françaises et Français dans une République repensée,Femmes et hommes dans la société des années 1950 aux années 1980,Place des femmes,HIGH,40,12,11,1.0,COMPLETE,OTHER
HISTORY,Françaises et Français dans une République repensée,Femmes et hommes dans la société des années 1950 aux années 1980,Immigration et société française,HIGH,40,12,25,1.0,COMPLETE,OTHER
GEOGRAPHY,Dynamiques territoriales de la France contemporaine,Urbanisation et attractivité des territoires,Métropolisation,HIGH,45,6,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
GEOGRAPHY,Dynamiques territoriales de la France contemporaine,Urbanisation et attractivité des territoires,Mobilités et espaces de vie,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
GEOGRAPHY,Dynamiques territoriales de la France contemporaine,Les espaces productifs et leurs évolutions,Espaces agricoles,HIGH,40,13,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
GEOGRAPHY,Dynamiques territoriales de la France contemporaine,Les espaces productifs et leurs évolutions,Espaces industriels et de services,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
GEOGRAPHY,Dynamiques territoriales de la France contemporaine,Inégalités et fractures territoriales,Contrastes du territoire français,HIGH,40,13,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
GEOGRAPHY,Dynamiques territoriales de la France contemporaine,Inégalités et fractures territoriales,Acteurs et politiques,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
GEOGRAPHY,Pourquoi et comment aménager le territoire ?,Aménagement du territoire,Enjeux d'aménagement,CRITICAL,50,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
GEOGRAPHY,Pourquoi et comment aménager le territoire ?,Aménagement du territoire,Acteurs de l'aménagement,CRITICAL,50,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
GEOGRAPHY,Pourquoi et comment aménager le territoire ?,Risques et transitions,Risques et vulnérabilités,HIGH,45,6,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
GEOGRAPHY,Pourquoi et comment aménager le territoire ?,Risques et transitions,Transitions énergétiques et écologiques,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
GEOGRAPHY,La France et l'Union européenne,La France dans l'Union européenne,Territoire européen,CRITICAL,50,13,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
GEOGRAPHY,La France et l'Union européenne,La France dans l'Union européenne,Politiques européennes,CRITICAL,50,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
GEOGRAPHY,La France et l'Union européenne,"La France, une influence mondiale",Rayonnement,HIGH,45,6,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
GEOGRAPHY,La France et l'Union européenne,"La France, une influence mondiale",Présence stratégique,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
EMC,"Valeurs, principes et exercice de la citoyenneté",Valeurs et principes de la République,"Liberté, égalité, fraternité",CRITICAL,50,13,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
EMC,"Valeurs, principes et exercice de la citoyenneté",Valeurs et principes de la République,Principes républicains,CRITICAL,50,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
EMC,"Valeurs, principes et exercice de la citoyenneté",Laïcité,Principe de laïcité,CRITICAL,50,13,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
EMC,"Valeurs, principes et exercice de la citoyenneté",Laïcité,Laïcité en pratique,CRITICAL,50,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
EMC,"Valeurs, principes et exercice de la citoyenneté",Citoyenneté,Statut de citoyen,CRITICAL,50,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
EMC,"Valeurs, principes et exercice de la citoyenneté",Citoyenneté,Exercice de la citoyenneté,CRITICAL,50,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
EMC,"Valeurs, principes et exercice de la citoyenneté",Institutions démocratiques,Organisation des pouvoirs,HIGH,40,13,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
EMC,"Valeurs, principes et exercice de la citoyenneté",Institutions démocratiques,Institutions locales et européennes,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
EMC,"Valeurs, principes et exercice de la citoyenneté",Droits et libertés,Droits fondamentaux,HIGH,40,13,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
EMC,"Valeurs, principes et exercice de la citoyenneté",Droits et libertés,Garanties et limites,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
EMC,"Valeurs, principes et exercice de la citoyenneté",Démocratie et débat,Principes démocratiques,HIGH,40,13,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
EMC,"Valeurs, principes et exercice de la citoyenneté",Démocratie et débat,Débattre et argumenter,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
EMC,"Valeurs, principes et exercice de la citoyenneté",Engagement,Formes d'engagement,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
EMC,"Valeurs, principes et exercice de la citoyenneté",Engagement,Engagement des jeunes,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
EMC,"Valeurs, principes et exercice de la citoyenneté",Défense et sécurité nationale,Enjeux de défense,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
EMC,"Valeurs, principes et exercice de la citoyenneté",Défense et sécurité nationale,Citoyen et défense,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
EMC,"Valeurs, principes et exercice de la citoyenneté","Médias, information et esprit critique",S'informer,HIGH,40,13,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
EMC,"Valeurs, principes et exercice de la citoyenneté","Médias, information et esprit critique",Esprit critique,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
PHYSICS_CHEMISTRY,Organisation et transformations de la matière,Atomes et molécules,Modèle de l'atome,HIGH,40,13,1,1.0,COMPLETE,OTHER
