subject,domain,chapter,skill,subskill,exercise_count,coverage_status
MATHEMATICS,"Organisation et gestion de données, fonctions",Pourcentages,Calculer un pourcentage,Pourcentage d'une quantité,40,COMPLETE
MATHEMATICS,"Organisation et gestion de données, fonctions",Pourcentages,Calculer un pourcentage,Trouver un taux,40,COMPLETE
MATHEMATICS,"Organisation et gestion de données, fonctions",Pourcentages,Évolutions en pourcentage,Augmentation,40,COMPLETE
MATHEMATICS,"Organisation et gestion de données, fonctions",Pourcentages,Évolutions en pourcentage,Diminution,40,COMPLETE
MATHEMATICS,"Organisation et gestion de données, fonctions",Pourcentages,Évolutions en pourcentage,Évolutions successives,40,COMPLETE
MATHEMATICS,"Organisation et gestion de données, fonctions",Statistiques,Organiser des données,Tableaux,40,COMPLETE
MATHEMATICS,"Organisation et gestion de données, fonctions",Statistiques,Organiser des données,Diagrammes,40,COMPLETE
MATHEMATICS,"Organisation et gestion de données, fonctions",Statistiques,Organiser des données,Fréquences,40,COMPLETE
MATHEMATICS,"Organisation et gestion de données, fonctions",Statistiques,Indicateurs statistiques,Moyenne,40,COMPLETE
MATHEMATICS,"Organisation et gestion de données, fonctions",Statistiques,Indicateurs statistiques,Médiane,40,COMPLETE
MATHEMATICS,"Organisation et gestion de données, fonctions",Statistiques,Indicateurs statistiques,Étendue,40,COMPLETE
MATHEMATICS,"Organisation et gestion de données, fonctions",Statistiques,Interpréter des données,Lire un graphique,40,COMPLETE
MATHEMATICS,"Organisation et gestion de données, fonctions",Statistiques,Interpréter des données,Tirer une conclusion,40,COMPLETE
MATHEMATICS,"Organisation et gestion de données, fonctions",Probabilités,Vocabulaire des probabilités,Issues et événements,40,COMPLETE
MATHEMATICS,"Organisation et gestion de données, fonctions",Probabilités,Vocabulaire des probabilités,Situations équiprobables,40,COMPLETE
MATHEMATICS,"Organisation et gestion de données, fonctions",Probabilités,Calculer une probabilité,Probabilité simple,40,COMPLETE
MATHEMATICS,"Organisation et gestion de données, fonctions",Probabilités,Calculer une probabilité,Événement contraire,40,COMPLETE
MATHEMATICS,"Organisation et gestion de données, fonctions",Probabilités,Calculer une probabilité,Arbres / tableaux,40,COMPLETE
MATHEMATICS,"Organisation et gestion de données, fonctions",Fonctions — image et antécédent,Notion de fonction,Définir une fonction,12,PARTIAL
MATHEMATICS,"Organisation et gestion de données, fonctions",Fonctions — image et antécédent,Notion de fonction,Notation f(x),12,PARTIAL
MATHEMATICS,"Organisation et gestion de données, fonctions",Fonctions — image et antécédent,Notion de fonction,Tableau de valeurs,12,PARTIAL
MATHEMATICS,"Organisation et gestion de données, fonctions",Fonctions — image et antécédent,Image et antécédent,Calculer une image,12,PARTIAL
MATHEMATICS,"Organisation et gestion de données, fonctions",Fonctions — image et antécédent,Image et antécédent,Déterminer un antécédent,12,PARTIAL
MATHEMATICS,"Organisation et gestion de données, fonctions",Fonctions — image et antécédent,Image et antécédent,Lire sur un graphique,12,PARTIAL
MATHEMATICS,"Organisation et gestion de données, fonctions",Fonctions — image et antécédent,Représentation graphique,Tracer une courbe,12,PARTIAL
MATHEMATICS,"Organisation et gestion de données, fonctions",Fonctions — image et antécédent,Représentation graphique,Interpréter graphiquement,12,PARTIAL
MATHEMATICS,"Organisation et gestion de données, fonctions",Fonctions linéaires et affines,Fonctions linéaires,y = ax,50,COMPLETE
MATHEMATICS,"Organisation et gestion de données, fonctions",Fonctions linéaires et affines,Fonctions linéaires,Coefficient directeur,50,COMPLETE
MATHEMATICS,"Organisation et gestion de données, fonctions",Fonctions linéaires et affines,Fonctions linéaires,Lien avec la proportionnalité,50,COMPLETE
MATHEMATICS,"Organisation et gestion de données, fonctions",Fonctions linéaires et affines,Fonctions affines,y = ax+b,12,PARTIAL
MATHEMATICS,"Organisation et gestion de données, fonctions",Fonctions linéaires et affines,Fonctions affines,Ordonnée à l'origine,12,PARTIAL
MATHEMATICS,"Organisation et gestion de données, fonctions",Fonctions linéaires et affines,Fonctions affines,Tracer la droite,12,PARTIAL
MATHEMATICS,"Organisation et gestion de données, fonctions",Fonctions linéaires et affines,Déterminer une fonction affine,À partir de deux points,12,PARTIAL
MATHEMATICS,"Organisation et gestion de données, fonctions",Fonctions linéaires et affines,Déterminer une fonction affine,À partir d'un graphique,12,PARTIAL
MATHEMATICS,"Organisation et gestion de données, fonctions",Fonctions linéaires et affines,Déterminer une fonction affine,Modéliser une situation,12,PARTIAL
MATHEMATICS,Grandeurs et mesures,Conversions d'unités,"Longueurs, aires, volumes",Unités de longueur,30,COMPLETE
MATHEMATICS,Grandeurs et mesures,Conversions d'unités,"Longueurs, aires, volumes",Unités d'aire,30,COMPLETE
MATHEMATICS,Grandeurs et mesures,Conversions d'unités,"Longueurs, aires, volumes",Unités de volume / capacité,30,COMPLETE
MATHEMATICS,Grandeurs et mesures,Conversions d'unités,Autres grandeurs,Masses,12,PARTIAL
MATHEMATICS,Grandeurs et mesures,Conversions d'unités,Autres grandeurs,Durées,12,PARTIAL
MATHEMATICS,Grandeurs et mesures,Conversions d'unités,Autres grandeurs,Vitesses,12,PARTIAL
MATHEMATICS,Grandeurs et mesures,Aires et volumes,Calculer des aires,Figures planes usuelles,40,COMPLETE
MATHEMATICS,Grandeurs et mesures,Aires et volumes,Calculer des aires,Figures composées,40,COMPLETE
MATHEMATICS,Grandeurs et mesures,Aires et volumes,Calculer des aires,Problèmes d'aires,40,COMPLETE
MATHEMATICS,Grandeurs et mesures,Aires et volumes,Calculer des volumes,Prisme / pavé / cylindre,40,COMPLETE
MATHEMATICS,Grandeurs et mesures,Aires et volumes,Calculer des volumes,Pyramide / cône,40,COMPLETE
MATHEMATICS,Grandeurs et mesures,Aires et volumes,Calculer des volumes,Sphère,40,COMPLETE
MATHEMATICS,Grandeurs et mesures,Agrandissement et réduction,Facteur d'échelle,Effet sur les longueurs,12,PARTIAL
MATHEMATICS,Grandeurs et mesures,Agrandissement et réduction,Facteur d'échelle,Effet sur les aires,12,PARTIAL
MATHEMATICS,Grandeurs et mesures,Agrandissement et réduction,Facteur d'échelle,Effet sur les volumes,12,PARTIAL
MATHEMATICS,Grandeurs et mesures,Agrandissement et réduction,Problèmes d'échelle,Plans et maquettes,12,PARTIAL
MATHEMATICS,Grandeurs et mesures,Agrandissement et réduction,Problèmes d'échelle,Figures semblables,12,PARTIAL
MATHEMATICS,Espace et géométrie,Repérage,Repérage dans le plan,Coordonnées cartésiennes,12,PARTIAL
MATHEMATICS,Espace et géométrie,Repérage,Repérage dans le plan,Milieu d'un segment,12,PARTIAL
MATHEMATICS,Espace et géométrie,Repérage,Repérage dans le plan,Distance entre deux points,12,PARTIAL
MATHEMATICS,Espace et géométrie,Repérage,Repérage dans l'espace,Coordonnées dans l'espace,12,PARTIAL
MATHEMATICS,Espace et géométrie,Repérage,Repérage dans l'espace,Lire un solide repéré,12,PARTIAL
MATHEMATICS,Espace et géométrie,Théorème de Pythagore et réciproque,Théorème de Pythagore,Identifier l'hypoténuse,50,COMPLETE
MATHEMATICS,Espace et géométrie,Théorème de Pythagore et réciproque,Théorème de Pythagore,Calculer une longueur,50,COMPLETE
MATHEMATICS,Espace et géométrie,Théorème de Pythagore et réciproque,Théorème de Pythagore,Problèmes d'application,50,COMPLETE
MATHEMATICS,Espace et géométrie,Théorème de Pythagore et réciproque,Réciproque de Pythagore,Tester si un triangle est rectangle,12,PARTIAL
MATHEMATICS,Espace et géométrie,Théorème de Pythagore et réciproque,Réciproque de Pythagore,Rédiger une justification,12,PARTIAL
MATHEMATICS,Espace et géométrie,Théorème de Pythagore et réciproque,Raisonnement géométrique,Schématiser,12,PARTIAL
MATHEMATICS,Espace et géométrie,Théorème de Pythagore et réciproque,Raisonnement géométrique,Rédiger une démonstration courte,12,PARTIAL
MATHEMATICS,Espace et géométrie,Théorème de Thalès et réciproque,Théorème de Thalès,Reconnaître une configuration,50,COMPLETE
MATHEMATICS,Espace et géométrie,Théorème de Thalès et réciproque,Théorème de Thalès,Écrire les rapports,50,COMPLETE
MATHEMATICS,Espace et géométrie,Théorème de Thalès et réciproque,Théorème de Thalès,Calculer une longueur,50,COMPLETE
MATHEMATICS,Espace et géométrie,Théorème de Thalès et réciproque,Réciproque de Thalès,Prouver le parallélisme,12,PARTIAL
MATHEMATICS,Espace et géométrie,Théorème de Thalès et réciproque,Réciproque de Thalès,Rédiger la justification,12,PARTIAL
MATHEMATICS,Espace et géométrie,Trigonométrie dans le triangle rectangle,Cosinus,Définition cos = adj/hyp,12,PARTIAL
MATHEMATICS,Espace et géométrie,Trigonométrie dans le triangle rectangle,Cosinus,Calculer un cosinus,12,PARTIAL
MATHEMATICS,Espace et géométrie,Trigonométrie dans le triangle rectangle,Cosinus,Déterminer un angle,12,PARTIAL
MATHEMATICS,Espace et géométrie,Trigonométrie dans le triangle rectangle,Sinus,Définition sin = opp/hyp,12,PARTIAL
MATHEMATICS,Espace et géométrie,Trigonométrie dans le triangle rectangle,Sinus,Calculer un sinus,12,PARTIAL
MATHEMATICS,Espace et géométrie,Trigonométrie dans le triangle rectangle,Sinus,Calculer une longueur,12,PARTIAL
MATHEMATICS,Espace et géométrie,Trigonométrie dans le triangle rectangle,Tangente,Définition tan = opp/adj,12,PARTIAL
MATHEMATICS,Espace et géométrie,Trigonométrie dans le triangle rectangle,Tangente,Calculer une tangente,12,PARTIAL
MATHEMATICS,Espace et géométrie,Trigonométrie dans le triangle rectangle,Tangente,Problèmes de trigonométrie,12,PARTIAL
MATHEMATICS,Espace et géométrie,Trigonométrie dans le triangle rectangle,Choisir le bon rapport,Identifier côtés depuis un angle,12,PARTIAL
MATHEMATICS,Espace et géométrie,Trigonométrie dans le triangle rectangle,Choisir le bon rapport,"Choisir cos, sin ou tan",12,PARTIAL
MATHEMATICS,Espace et géométrie,Transformations du plan,Isométries,Translation,12,PARTIAL
MATHEMATICS,Espace et géométrie,Transformations du plan,Isométries,Rotation,12,PARTIAL
MATHEMATICS,Espace et géométrie,Transformations du plan,Isométries,Symétries,12,PARTIAL
MATHEMATICS,Espace et géométrie,Transformations du plan,Propriétés conservées,Conservation des longueurs,12,PARTIAL
MATHEMATICS,Espace et géométrie,Transformations du plan,Propriétés conservées,Conservation des angles,12,PARTIAL
MATHEMATICS,Espace et géométrie,Transformations du plan,Propriétés conservées,Construire l'image d'une figure,12,PARTIAL
MATHEMATICS,Espace et géométrie,Homothétie,Définition et rapport,Centre et rapport k,12,PARTIAL
MATHEMATICS,Espace et géométrie,Homothétie,Définition et rapport,Agrandissement / réduction,12,PARTIAL
MATHEMATICS,Espace et géométrie,Homothétie,Construire et calculer,Image d'un point / d'une figure,12,PARTIAL
MATHEMATICS,Espace et géométrie,Homothétie,Construire et calculer,Effet sur les longueurs,12,PARTIAL
MATHEMATICS,Espace et géométrie,Homothétie,Construire et calculer,Lien avec Thalès / agrandissement,12,PARTIAL
MATHEMATICS,Espace et géométrie,Géométrie plane,Triangles,Types de triangles,12,PARTIAL
MATHEMATICS,Espace et géométrie,Géométrie plane,Triangles,Inégalité triangulaire,12,PARTIAL
MATHEMATICS,Espace et géométrie,Géométrie plane,Triangles,Somme des angles,12,PARTIAL
MATHEMATICS,Espace et géométrie,Géométrie plane,Cercle et polygones,Propriétés du cercle,12,PARTIAL
MATHEMATICS,Espace et géométrie,Géométrie plane,Cercle et polygones,Polygones réguliers,12,PARTIAL
MATHEMATICS,Espace et géométrie,Géométrie plane,Constructions et justifications,Construire à la règle et au compas,12,PARTIAL
MATHEMATICS,Espace et géométrie,Géométrie plane,Constructions et justifications,Justifier une propriété,12,PARTIAL
MATHEMATICS,Espace et géométrie,Géométrie dans l'espace et solides,Solides usuels,Pavé / cube,12,PARTIAL
MATHEMATICS,Espace et géométrie,Géométrie dans l'espace et solides,Solides usuels,Cylindre / cône / sphère,12,PARTIAL
MATHEMATICS,Espace et géométrie,Géométrie dans l'espace et solides,Solides usuels,Pyramide / prisme,12,PARTIAL
MATHEMATICS,Espace et géométrie,Géométrie dans l'espace et solides,Représentations,Perspective cavalière,12,PARTIAL
MATHEMATICS,Espace et géométrie,Géométrie dans l'espace et solides,Représentations,Patrons,12,PARTIAL
MATHEMATICS,Espace et géométrie,Géométrie dans l'espace et solides,Représentations,Sections planes,12,PARTIAL
MATHEMATICS,Algorithmique et programmation,"Variables, conditions et boucles",Variables et affectations,Déclarer / affecter,32,PARTIAL
